date,symbol,name,days,rate,score,reasons,action,expected_profit,daily_profit,occupy_days,capital_available,select_reason
2025-04-02,204014,GC014,14,1.95,40.68,"['节假日前效应', 'DR007=1.80%偏高(>1.8%)', '利率1.95%达标(>=1.5%)']",已买入,2.2438,0.149589,15,True,短期灵活
2025-04-02,204007,GC007,7,1.93,40.53,"['节假日前效应', 'DR007=1.80%偏高(>1.8%)', '利率1.93%达标(>=1.5%)']",建议买入,1.1104,0.138801,8,True,
2025-04-02,204001,GC001,1,1.83,39.769999999999996,"['节假日前效应', 'DR007=1.80%偏高(>1.8%)', '利率1.83%达标(>=1.5%)']",建议买入,0.1504,0.075205,2,True,
2025-04-02,131805,R-091,91,1.815,39.66,"['节假日前效应', 'DR007=1.80%偏高(>1.8%)', '利率1.81%达标(>=1.5%)']",建议买入,13.5752,0.147557,92,True,
2025-04-02,131803,R-028,28,1.79,39.47,"['节假日前效应', 'DR007=1.80%偏高(>1.8%)', '利率1.79%达标(>=1.5%)']",建议买入,4.1195,0.14205,29,True,
2025-04-02,131802,R-014,14,1.785,39.43,"['节假日前效应', 'DR007=1.80%偏高(>1.8%)', '利率1.78%达标(>=1.5%)']",建议买入,2.054,0.136932,15,True,
2025-04-02,131806,R-182,182,1.73,39.019999999999996,"['节假日前效应', 'DR007=1.80%偏高(>1.8%)', '利率1.73%达标(>=1.5%)']",建议买入,25.8789,0.141415,183,True,
2025-04-02,131801,R-007,7,1.715,38.9,"['节假日前效应', 'DR007=1.80%偏高(>1.8%)', '利率1.72%达标(>=1.5%)']",建议买入,0.9867,0.123339,8,True,
2025-04-02,131809,R-004,4,1.465,37.01,"['节假日前效应', 'DR007=1.80%偏高(>1.8%)', '利率1.47%接近达标']",建议买入,0.4816,0.096329,5,True,
2025-04-02,131811,R-002,2,1.455,36.93,"['节假日前效应', 'DR007=1.80%偏高(>1.8%)', '利率1.46%接近达标']",建议买入,0.2392,0.079726,3,True,
2025-04-02,131800,R-003,3,1.43,36.74,"['节假日前效应', 'DR007=1.80%偏高(>1.8%)', '利率1.43%接近达标']",建议买入,0.3526,0.088151,4,True,
2025-04-02,131810,R-001,1,1.41,36.59,"['节假日前效应', 'DR007=1.80%偏高(>1.8%)', '利率1.41%接近达标']",建议买入,0.1159,0.057945,2,True,
2025-04-03,204014,GC014,14,1.8,29.55,"['节假日前效应', '周四效应(1天期实得3天利息)', '利率1.80%达标(>=1.5%)']",观望,2.0712,0.138082,15,False,
2025-04-03,131802,R-014,14,1.75,29.17,"['节假日前效应', '周四效应(1天期实得3天利息)', '利率1.75%达标(>=1.5%)']",观望,2.0137,0.134247,15,False,
2025-04-03,204007,GC007,7,1.75,29.17,"['节假日前效应', '周四效应(1天期实得3天利息)', '利率1.75%达标(>=1.5%)']",观望,1.0068,0.125856,8,False,
2025-04-03,131803,R-028,28,1.74,29.09,"['节假日前效应', '周四效应(1天期实得3天利息)', '利率1.74%达标(>=1.5%)']",观望,4.0044,0.138082,29,False,
2025-04-03,131801,R-007,7,1.735,29.05,"['节假日前效应', '周四效应(1天期实得3天利息)', '利率1.74%达标(>=1.5%)']",观望,0.9982,0.124777,8,False,
2025-04-03,131805,R-091,91,1.68,28.64,"['节假日前效应', '周四效应(1天期实得3天利息)', '利率1.68%达标(>=1.5%)']",观望,12.5655,0.136581,92,False,
2025-04-03,204001,GC001,1,1.67,28.560000000000002,"['节假日前效应', '周四效应(1天期实得3天利息)', '利率1.67%达标(>=1.5%)']",观望,0.1373,0.06863,2,False,
2025-04-03,131806,R-182,182,1.66,28.48,"['节假日前效应', '周四效应(1天期实得3天利息)', '利率1.66%达标(>=1.5%)']",观望,24.8318,0.135693,183,False,
2025-04-03,131810,R-001,1,1.555,27.69,"['节假日前效应', '周四效应(1天期实得3天利息)', '利率1.55%达标(>=1.5%)']",观望,0.1278,0.063904,2,False,
2025-04-03,131811,R-002,2,1.525,27.46,"['节假日前效应', '周四效应(1天期实得3天利息)', '利率1.52%达标(>=1.5%)']",观望,0.2507,0.083562,3,False,
2025-04-03,131809,R-004,4,1.5,27.27,"['节假日前效应', '周四效应(1天期实得3天利息)', '利率1.50%达标(>=1.5%)']",观望,0.4932,0.09863,5,False,
2025-04-03,131800,R-003,3,1.49,27.2,"['节假日前效应', '周四效应(1天期实得3天利息)', '利率1.49%接近达标']",观望,0.3674,0.091849,4,False,
2025-04-07,131810,R-001,1,1.925,25.490000000000002,"['DR007=1.81%偏高(>1.8%)', '利率1.93%达标(>=1.5%)']",观望,0.1582,0.07911,2,False,
2025-04-07,131800,R-003,3,1.86,25.0,"['DR007=1.81%偏高(>1.8%)', '利率1.86%达标(>=1.5%)']",观望,0.4586,0.114658,4,False,
2025-04-07,131811,R-002,2,1.86,25.0,"['DR007=1.81%偏高(>1.8%)', '利率1.86%达标(>=1.5%)']",观望,0.3058,0.101918,3,False,
2025-04-07,131801,R-007,7,1.835,24.810000000000002,"['DR007=1.81%偏高(>1.8%)', '利率1.83%达标(>=1.5%)']",观望,1.0558,0.131969,8,False,
